wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (987580.97046957910060883 190286.50202272832393646)	987580.9704695792	190286.50202272832	506	40.68897	-73.9879889
Point (987644.24795676022768021 207713.12120485305786133)	987644.2479567601	207713.12120485306	454	40.7368	-73.9877518
Point (987648.77944376319646835 191487.05047464370727539)	987648.7794437632	191487.0504746437	48	40.69226	-73.9877438
Point (987678.32334793359041214 188773.21830389648675919)	987678.3233479336	188773.2183038965	64	40.68481	-73.9876386
Point (987685.54232955724000931 207273.51726122200489044)	987685.5423295572	207273.517261222	255	40.73559	-73.987603
Point (987702.75768226385116577 182531.47274935245513916)	987702.7576822639	182531.47274935246	62	40.66768	-73.9875538
Point (987737.00471569097135216 207940.60111953318119049)	987737.004715691	207940.60111953318	520	40.73742	-73.987417
Point (987797.80818113684654236 180196.82157876342535019)	987797.8081811368	180196.82157876343	23	40.66127	-73.9872124
Point (987812.53059263527393341 201490.50635351985692978)	987812.5305926353	201490.50635351986	182	40.71972	-73.9871479
Point (987842.00740376859903336 182750.95885893702507019)	987842.0074037686	182750.95885893705	63	40.66828	-73.9870517
Point (987896.9590655118227005 211694.70690964162349701)	987896.9590655118	211694.70690964162	266	40.74773	-73.9868378
Point (987914.7648041769862175 189969.70721668750047684)	987914.764804177	189969.7072166875	81	40.6881	-73.9867855
Point (987921.75855659693479538 165447.74773051589727402)	987921.758556597	165447.7477305159	7.000000000000001	40.62079	-73.9867737
Point (987983.75367539376020432 214500.33138368278741837)	987983.7536753938	214500.3313836828	191	40.75543	-73.9865229
Point (987986.70937813818454742 158329.72276055812835693)	987986.7093781383	158329.72276055813	18	40.60125	-73.9865438
Point (988031.856269471347332 190196.49498489499092102)	988031.8562694713	190196.494984895	52	40.68872	-73.9863631
Point (988036.84133167564868927 189469.02892014384269714)	988036.8413316756	189469.02892014384	27	40.68672	-73.9863456
Point (988048.31604626029729843 191256.52714960277080536)	988048.3160462603	191256.52714960277	53	40.69163	-73.9863032
Point (988085.05323219299316406 208602.06808180609368719)	988085.053232193	208602.0680818061	507	40.73924	-73.9861607
Point (988250.10566892474889755 179831.74045197665691376)	988250.1056689247	179831.74045197666	61	40.66027	-73.9855824
Point (988270.18354871869087219 206810.68846247345209122)	988270.1835487187	206810.68846247345	259	40.73432	-73.9854937
Point (988275.40565113723278046 189931.74321781098842621)	988275.4056511372	189931.743217811	82	40.68799	-73.9854851
Point (988279.85774197429418564 188466.88016985356807709)	988279.8577419743	188466.8801698536	26	40.68397	-73.9854699
Point (988343.12139497196767479 199420.72992658615112305)	988343.121394972	199420.72992658615	530	40.71404	-73.9852351
Point (988353.34315930306911469 212664.79508319497108459)	988353.3431593031	212664.79508319497	510	40.75039	-73.9851901
Point (988355.41812235116958618 208018.15028639882802963)	988355.4181223512	208018.15028639883	261	40.73764	-73.9851854
Point (988404.72576650977134705 206583.8567311018705368)	988404.7257665098	206583.85673110184	186	40.7337	-73.9850084
Point (988413.39274393022060394 216081.12923914194107056)	988413.3927439302	216081.12923914194	268	40.75977	-73.9849712
Point (988429.22522538900375366 210222.17507780343294144)	988429.225225389	210222.17507780343	456	40.74369	-73.9849177
Point (988490.00610776245594025 211364.97987881302833557)	988490.0061077625	211364.97987881303	267	40.74682	-73.9846976
Point (988495.40947622060775757 216334.17614118754863739)	988495.4094762206	216334.17614118755	192	40.76046	-73.984675
Point (988507.85236471891403198 203968.45923881232738495)	988507.8523647189	203968.45923881233	258	40.72652	-73.984638
Point (988526.93959688395261765 206808.12006209790706635)	988526.9395968841	206808.1200620979	260	40.73432	-73.9845673
Point (988570.72510643303394318 184286.0153360590338707)	988570.725106433	184286.01533605903	66	40.6725	-73.9844239
Point (988604.30033455789089203 216572.37464772909879684)	988604.300334558	216572.3746477291	193	40.76112	-73.9842818
Point (988631.00828638672828674 204192.78310117870569229)	988631.0082863867	204192.7831011787	185	40.72714	-73.9841935
Point (988638.42018100619316101 189161.72490876913070679)	988638.4201810062	189161.72490876913	67	40.68588	-73.9841766
Point (988676.62450092285871506 222686.27957868576049805)	988676.6245009229	222686.27957868576	196	40.7779	-73.9840167
Point (988677.58184809982776642 184068.25822564214468002)	988677.5818480998	184068.25822564214	28.000000000000004	40.6719	-73.9840388
Point (988700.49658245220780373 188252.94018599018454552)	988700.4965824522	188252.94018599016	495	40.68339	-73.9839534
Point (988726.52778039127588272 216804.00673039257526398)	988726.5277803913	216804.00673039258	269	40.76175	-73.9838404
Point (988778.51061605662107468 215432.8769267275929451)	988778.5106160565	215432.8769267276	271	40.75799	-73.9836537
Point (988817.16014505177736282 184287.75270134955644608)	988817.1601450517	184287.75270134956	29	40.6725	-73.9835355
Point (988842.15090872347354889 217037.94819164276123047)	988842.1509087235	217037.94819164276	194	40.76239	-73.9834229
Point (988861.50552880018949509 179347.42531168460845947)	988861.5055288002	179347.42531168464	58	40.65894	-73.983379
Point (988876.79716488718986511 189624.39294668287038803)	988876.7971648872	189624.39294668284	30	40.68715	-73.9833168
Point (988954.44235080480575562 217274.81139902025461197)	988954.4423508048	217274.81139902025	270	40.76304	-73.9830174
Point (988956.52830463647842407 184507.36971618235111237)	988956.5283046365	184507.36971618235	68	40.67311	-73.9830329
Point (989084.68077143281698227 190183.70957739651203156)	989084.6807714328	190183.7095773965	54	40.68869	-73.9825668
Point (989095.88990255445241928 184726.77232855558395386)	989095.8899025545	184726.77232855558	31	40.67371	-73.9825304
Point (989170.24966197460889816 190347.54291114956140518)	989170.2496619746	190347.54291114956	55	40.68913	-73.9822581
Point (989235.40881642699241638 184945.96660801768302917)	989235.408816427	184945.96660801768	33	40.67431	-73.9820272
Point (989298.36636767908930779 207077.39896908029913902)	989298.3663676791	207077.39896908027	490	40.73505	-73.9817835
Point (989367.22449767589569092 185154.6700948104262352)	989367.224497676	185154.67009481043	34	40.67488	-73.9815519
Point (989399.19507022202014923 203337.76414193958044052)	989399.195070222	203337.76414193958	187	40.72479	-73.9814226
Point (989443.62657584995031357 187873.45173072814941406)	989443.62657585	187873.45173072815	449	40.68234	-73.9812743
Point (989490.03281505405902863 185369.01021730899810791)	989490.032815054	185369.010217309	69	40.67547	-73.981109
Point (989520.22025468200445175 203553.87722676992416382)	989520.220254682	203553.87722676995	188	40.72538	-73.9809858
Point (989543.38310205191373825 221466.05203226953744888)	989543.383102052	221466.05203226954	272	40.77455	-73.9808881
Point (989571.00429207249544561 202818.82788030555821024)	989571.0042920725	202818.82788030556	509	40.72337	-73.9808032
Point (989638.77456153184175491 203768.05224133282899857)	989638.7745615318	203768.05224133283	492	40.72597	-73.9805579
Point (989668.64203788340091705 221694.31748780608177185)	989668.6420378833	221694.31748780608	273	40.77517	-73.9804356
Point (989689.36033634841442108 174288.97496272623538971)	989689.3603363484	174288.97496272624	59	40.64506	-73.9803994
Point (989755.20431007945444435 203982.01761064431047998)	989755.2043100795	203982.0176106443	533	40.72656	-73.9801377
Point (989795.17836617678403854 221923.84934501349925995)	989795.1783661767	221923.84934501353	195	40.7758	-73.9799786
Point (989848.4492570087313652 186062.20305664092302322)	989848.4492570088	186062.20305664092	35	40.67737	-73.9798162
Point (989879.48347971588373184 204206.66447106003761292)	989879.4834797159	204206.66447106	189	40.72717	-73.9796891
Point (989922.85855700820684433 222150.5626383051276207)	989922.8585570082	222150.56263830513	197	40.77643	-73.9795174
Point (989963.11569434404373169 190322.71520489454269409)	989963.1156943439	190322.71520489454	56.00000000000001	40.68907	-73.9793992
Point (989966.89357392489910126 186292.0925246849656105)	989966.8935739249	186292.09252468497	88	40.678	-73.979389
Point (990005.24766388535499573 204432.57461635023355484)	990005.2476638854	204432.57461635023	262	40.72779	-73.9792351
Point (990008.55851684510707855 183992.82825839519500732)	990008.5585168451	183992.8282583952	32	40.67169	-73.9792408
Point (990035.1593494713306427 186425.46512538939714432)	990035.1593494713	186425.4651253894	118	40.67837	-73.9791428
Point (990053.88979101181030273 222387.66616672277450562)	990053.8897910118	222387.6661667228	198	40.77708	-73.9790441
Point (990104.54585768282413483 186559.60527705401182175)	990104.5458576828	186559.605277054	119	40.67874	-73.9788925
Point (990134.5305418074131012 204665.48753634840250015)	990134.5305418074	204665.4875363484	274	40.72843	-73.9787685
Point (990191.51418767869472504 222637.40730109810829163)	990191.5141876787	222637.4073010981	208	40.77776	-73.978547
Point (990265.18169126659631729 204898.20688718557357788)	990265.1816912666	204898.20688718557	457	40.72907	-73.9782969
Point (990325.22897930443286896 222877.49786422401666641)	990325.2289793044	222877.49786422402	209	40.77842	-73.9780639
Point (990332.88053880631923676 187003.6529453918337822)	990332.8805388062	187003.65294539183	89	40.67996	-73.9780689
Point (990392.94472314417362213 187119.00868581235408783)	990392.9447231442	187119.00868581235	90	40.68027	-73.9778522
Point (990440.33439213538076729 204339.57578660300350748)	990440.3343921354	204339.57578660297	498	40.72754	-73.9776655
Point (990452.74922951310873032 187234.89444485306739807)	990452.7492295131	187234.89444485307	120	40.68059	-73.9776365
Point (990453.12078388780355453 223108.65078118443489075)	990453.1207838878	223108.65078118443	210	40.77906	-73.977602
Point (990470.757559634745121 184721.85435939580202103)	990470.7575596347	184721.8543593958	87	40.67369	-73.9775739
Point (990506.16726572066545486 224136.63510972261428833)	990506.1672657207	224136.6351097226	211	40.78188	-73.9774095
Point (990562.60694942623376846 187448.80133330821990967)	990562.6069494262	187448.80133330822	121	40.68118	-73.9772402
Point (990581.82590705156326294 223339.42312147468328476)	990581.8259070516	223339.42312147468	281	40.77969	-73.977137
Point (990624.17933284491300583 182063.79159809648990631)	990624.1793328449	182063.7915980965	117	40.6664	-73.9770234
Point (990681.63394234329462051 187679.368785560131073)	990681.6339423433	187679.36878556013	122	40.68181	-73.9768109
Point (990713.25149722397327423 223574.34992633759975433)	990713.2514972239	223574.3499263376	540	40.78033	-73.9766622
Point (990781.03433410078287125 222774.19524931162595749)	990781.0343341008	222774.19524931163	282	40.77814	-73.9764183
Point (990943.72478955239057541 228196.71557223051786423)	990943.7247895524	228196.71557223052	283	40.79302	-73.9758254
Point (991221.34021201729774475 190099.19383434951305389)	991221.3402120172	190099.1938343495	135	40.68845	-73.9748625
Point (991278.47215155512094498 211047.11027176678180695)	991278.4721515551	211047.11027176678	207	40.74595	-73.9746345
Point (991313.82854410260915756 189482.0802391842007637)	991313.8285441026	189482.08023918423	123	40.68676	-73.9745296
Point (991579.48122801631689072 175362.46559789031744003)	991579.4812280163	175362.46559789032	112.00000000000001	40.648	-73.9735872
Point (991605.5433478057384491 210863.23104635626077652)	991605.5433478057	210863.23104635626	206	40.74544	-73.9734543
Point (991642.98011676222085953 185290.43753980845212936)	991642.9801167622	185290.43753980845	91	40.67525	-73.9733474
Point (991724.13612242788076401 191283.21049518883228302)	991724.1361224279	191283.21049518883	102	40.6917	-73.9730482
Point (991998.74662963300943375 191271.10093935579061508)	991998.7466296329	191271.1009393558	136	40.69167	-73.9720579
Point (992276.63485338538885117 191257.05093464255332947)	992276.6348533854	191257.05093464255	137	40.69163	-73.9710559
Point (992358.52166467905044556 230749.33251422643661499)	992358.521664679	230749.33251422644	295	40.80003	-73.9707128
Point (992523.22786413878202438 228700.33694031089544296)	992523.2278641388	228700.3369403109	212	40.7944	-73.9701205
